
Classical,Classical
Classical,Andalusian classical music
Classical,Indian classical music
Classical,Korean court music
Classical,Persian classical music
Classical,Western classical music
Classical,Early music
Classical,Medieval music
Classical,Ars antiqua
Classical,Ars nova
Classical,Ars subtilior
Classical,Renaissance music
Classical,Baroque music
Classical,Galant music
Classical,Classical period
Classical,Romantic music
Classical,20th centuries classical music
Classical,21st centuries classical music
Classical,Modernism
Classical,Impressionism
Classical,Neoclassicism
Classical,High modernism
Classical,Postmodern music
Classical,Experimental music
Classical,Contemporary classical music
Classical,Minimal music

Experimental,Crossover music
Experimental,Danger music
Experimental,Drone music
Experimental,Electroacoustic
Experimental,Industrial music
Experimental,Instrumental
Experimental,Lo-fi
Experimental,Musical improvisation
Experimental,Musique concrète
Experimental,Noise
Experimental,Outsider music
Experimental,PC Music
Experimental,Progressive music
Experimental,Psychedelic music
Experimental,Underground music

Blues,African blues
Blues,Blues rock
Blues,Blues shouter
Blues,British blues
Blues,Canadian blues
Blues,Chicago blues
Blues,Classic female blues
Blues,Contemporary R&B
Blues,Delta blues
Blues,Desert blues
Blues,Detroit blues
Blues,Electric blues
Blues,Gospel blues
Blues,Hill country blues
Blues,Hokum blues
Blues,Honky Tonk Blues
Blues,Jump blues
Blues,Kansas City blues
Blues,Louisiana blues
Blues,Memphis blues
Blues,New Orleans blues
Blues,Piedmont blues
Blues,Punk blues
Blues,Rhythm and blues
Blues,Doo-wop
Blues,Soul blues
Blues,St. Louis blues
Blues,Swamp blues
Blues,Talking blues
Blues,Texas blues
Blues,West Coast blues
Blues,Country blues

Country,Alternative country
Country,Cowpunk
Country,Americana
Country,Australian country
Country,Bakersfield sound
Country,Bluegrass
Country,Progressive bluegrass
Country,Reactionary bluegrass
Country,Classic country
Country,Country blues
Country,Country pop
Country,Country rap
Country,Country rock
Country,Cajun
Country,Cajun fiddle
Country,Christian country
Country,Close harmony
Country,Dansband
Country,Gothic country
Country,Hokum
Country,Honky-tonk country
Country,Instrumental country
Country,Nashville sound
Country,Neotraditional country
Country,New Mexico music
Country,Outlaw country
Country,Progressive country
Country,Red dirt
Country,Rockabilly
Country,Hellbilly
Country,Psychobilly
Country,Sertanejo
Country,Tejano
Country,Texas country
Country,Traditional country music
Country,Truck-driving country
Country,Western (Cowboy)
Country,Cowboy pop
Country,New Mexico
Country,Texas country
Country,Tejano
Country,Western swing
Country,Zydeco

Easy Listening,Adult contemporary music
Easy Listening,Adult standards
Easy Listening,Background music
Easy Listening,Elevator music (muzak)
Easy Listening,Barococo
Easy Listening,Beautiful music
Easy Listening,Chill-out
Easy Listening,Downtempo
Easy Listening,Furniture music
Easy Listening,Light music
Easy Listening,Lounge music
Easy Listening,Middle of the road
Easy Listening,New-age music
Easy Listening,Soft rock

Electronic,Ambient
Electronic,Ambient dub
Electronic,Dark ambient
Electronic,Ambient industrial
Electronic,Dungeon synth
Electronic,Drone
Electronic,Illbient
Electronic,New-age
Electronic,Andean new-age
Electronic,Neoclassical new-age
Electronic,Space music
Electronic,Reductionism
Electronic,Lowercase
Electronic,Onkyokei
Electronic,Bass music
Electronic,Footwork
Electronic,Future bass
Electronic,Kawaii future bass
Electronic,Jungle terror
Electronic,UK bass
Electronic,Wave
Electronic,Hardwave
Electronic,Breakbeat
Electronic,Acid breaks
Electronic,Baltimore club
Electronic,Jersey club
Electronic,Philly club
Electronic,Big beat
Electronic,Breakbeat hardcore
Electronic,4-beat
Electronic,Darkcore
Electronic,Hardcore breaks
Electronic,Broken beat
Electronic,Florida breaks
Electronic,Nu skool breaks
Electronic,Progressive breaks
Electronic,Psychedelic breakbeat
Electronic,Chill-out
Electronic,Downtempo
Electronic,Psybient
Electronic,Psydub
Electronic,Trip hop
Electronic,Trip rock
Electronic,Chopped and screwed
Electronic,Disco
Electronic,Afro/cosmic music
Electronic,Electro-disco
Electronic,Hi-NRG
Electronic,Eurobeat
Electronic,Eurodance
Electronic,Italo dance
Electronic,Italo disco
Electronic,Spacesynth
Electronic,Space disco
Electronic,Eurodisco
Electronic,Nu-disco
Electronic,Post-disco
Electronic,Boogie
Electronic,City pop
Electronic,Drum and bass
Electronic,Darkstep
Electronic,Drumfunk
Electronic,Drumstep
Electronic,Hardstep
Electronic,Intelligent drum and bass
Electronic,Atmospheric drum and bass
Electronic,Jazzstep
Electronic,Jump-up
Electronic,Liquid funk
Electronic,Neurofunk
Electronic,Sambass
Electronic,Techstep
Electronic,Dub
Electronic,Dub poetry
Electronic,Dubtronica
Electronic,Electroacoustic music
Electronic,Acousmatic music
Electronic,Electroacoustic improvisation
Electronic,Live electronics
Electronic,Musique concrète
Electronic,Soundscape
Electronic,Electronic dance music
Electronic,Dance music
Electronic,Dance-pop
Electronic,Music festival
Electronic,Electronic rock
Electronic,Dance-rock
Electronic,Alternative dance
Electronic,Madchester
Electronic,Baggy
Electronic,New rave
Electronic,Dance-punk
Electronic,Krautrock
Electronic,New wave
Electronic,Cold wave
Electronic,Dark wave
Electronic,Neoclassical dark wave
Electronic,Neue Deutsche Todeskunst
Electronic,New rave
Electronic,Ethereal wave
Electronic,Nu-gaze
Electronic,Minimal wave
Electronic,Neue Deutsche Welle
Electronic,New romantic
Electronic,New wave of new wave
Electronic,Sophisti-pop
Electronic,Synth-pop
Electronic,Dance-pop
Electronic,Disco polo
Electronic,Electroclash
Electronic,Electropop
Electronic,Hyperpop
Electronic,Post-rock
Electronic,Space rock
Electronic,Synth-metal
Electronic,Electronicore
Electronic,Synth-punk
Electronic,Electronica
Electronic,Folktronica
Electronic,Indietronica
Electronic,Jazztronica
Electronic,Laptronica
Electronic,Livetronica
Electronic,Progressive electronic
Electronic,Kosmische musik
Electronic,Ethnic electronica / regional EDM
Electronic,Asian underground
Electronic,African electronic dance music
Electronic,Afrobeats
Electronic,Azonto
Electronic,Coupé-décalé
Electronic,Kuduro
Electronic,Mahraganat
Electronic,Shangaan electro
